Contract;Date and time;kWh;Consumption code;Average temperature (°C);Temperature code
0314004824;2023-02-11 14:00:00;0.17;R;-3;R
0314004824;2023-02-11 13:00:00;0.12;R;-3;R
0314004824;2023-02-11 12:00:00;0.14;R;-4;R
0314004824;2023-02-11 11:00:00;0.18;R;-4;R
0314004824;2023-02-11 10:00:00;0.12;R;-4;R
0314004824;2023-02-11 09:00:00;0.13;R;-5;R
0314004824;2023-02-11 08:00:00;0.15;R;-6;R
0314004824;2023-02-11 07:00:00;0.09;R;-8;R
0314004824;2023-02-11 06:00:00;0.15;R;-7;R
0314004824;2023-02-11 05:00:00;0.13;R;-6;R
0314004824;2023-02-11 04:00:00;0.12;R;-5;R
0314004824;2023-02-11 03:00:00;0.16;R;-4;R
0314004824;2023-02-11 02:00:00;0.11;R;-3;R
0314004824;2023-02-11 01:00:00;0.17;R;-3;R
0314004824;2023-02-11 00:00:00;0.23;R;-3;R
0314004824;2023-02-10 23:00:00;0.25;R;-3;R
0314004824;2023-02-10 22:00:00;0.31;R;-2;R
0314004824;2023-02-10 21:00:00;0.19;R;-2;R
0314004824;2023-02-10 20:00:00;0.30;R;-1;R
0314004824;2023-02-10 19:00:00;0.24;R;0;R
0314004824;2023-02-10 18:00:00;0.26;R;1;R
0314004824;2023-02-10 17:00:00;0.25;R;1;R
0314004824;2023-02-10 16:00:00;0.20;R;2;R
0314004824;2023-02-10 15:00:00;0.32;R;2;R
0314004824;2023-02-10 14:00:00;0.21;R;2;R
0314004824;2023-02-10 13:00:00;0.23;R;3;R
0314004824;2023-02-10 12:00:00;0.18;R;3;R
0314004824;2023-02-10 11:00:00;0.18;R;3;R
0314004824;2023-02-10 10:00:00;0.18;R;3;R
0314004824;2023-02-10 09:00:00;0.17;R;3;R
0314004824;2023-02-10 08:00:00;0.17;R;4;R
0314004824;2023-02-10 07:00:00;0.14;R;4;R
0314004824;2023-02-10 06:00:00;0.10;R;4;R
0314004824;2023-02-10 05:00:00;0.11;R;5;R
0314004824;2023-02-10 04:00:00;0.13;R;2;R
0314004824;2023-02-10 03:00:00;0.10;R;0;R
0314004824;2023-02-10 02:00:00;0.09;R;1;R
0314004824;2023-02-10 01:00:00;0.16;R;1;R
0314004824;2023-02-10 00:00:00;0.19;R;1;R
0314004824;2023-02-09 23:00:00;0.22;R;0;R
0314004824;2023-02-09 22:00:00;0.24;R;1;R
0314004824;2023-02-09 21:00:00;0.23;R;2;R
0314004824;2023-02-09 20:00:00;0.20;R;2;R
0314004824;2023-02-09 19:00:00;0.21;R;1;R
0314004824;2023-02-09 18:00:00;0.21;R;1;R
0314004824;2023-02-09 17:00:00;0.13;R;1;R
0314004824;2023-02-09 16:00:00;0.11;R;1;R
0314004824;2023-02-09 15:00:00;0.07;R;0;R
0314004824;2023-02-09 14:00:00;0.12;R;1;R
0314004824;2023-02-09 13:00:00;0.12;R;1;R
0314004824;2023-02-09 12:00:00;0.09;R;1;R
0314004824;2023-02-09 11:00:00;0.09;R;1;R
