Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
314004824;2022-06-10 05:00:00;0.13;R;14;R
315107746;2022-06-10 06:00:00;0.0;R;15;R
314004824;2022-06-10 06:00:00;0.12;R;15;R
315107746;2022-06-10 07:00:00;0.0;R;16;R
314004824;2022-06-10 07:00:00;0.17;R;16;R
315107746;2022-06-10 08:00:00;0.0;R;17;R
314004824;2022-06-10 08:00:00;0.11;R;17;R
315107746;2022-06-10 09:00:00;0.0;R;17;R
314004824;2022-06-10 09:00:00;0.08;R;17;R
315107746;2022-06-10 10:00:00;0.0;R;18;R
314004824;2022-06-10 10:00:00;0.12;R;18;R
315107746;2022-06-10 11:00:00;0.0;R;20;R
314004824;2022-06-10 11:00:00;0.1;R;20;R
315107746;2022-06-10 12:00:00;0.0;R;19;R
314004824;2022-06-10 12:00:00;0.09;R;19;R
314004824;2022-06-10 13:00:00;0.12;R;20;R
315107746;2022-06-10 13:00:00;0.01;R;20;R
315107746;2022-06-10 14:00:00;0.0;R;20;R
314004824;2022-06-10 14:00:00;0.08;R;20;R
314004824;2022-06-10 15:00:00;0.21;R;20;R
315107746;2022-06-10 15:00:00;0.77;R;20;R
315107746;2022-06-10 16:00:00;0.0;R;20;R
314004824;2022-06-10 16:00:00;0.09;R;20;R
314004824;2022-06-10 17:00:00;0.12;R;19;R
315107746;2022-06-10 17:00:00;0.0;R;19;R
315107746;2022-06-10 18:00:00;0.0;R;19;R
314004824;2022-06-10 18:00:00;0.08;R;19;R
315107746;2022-06-10 19:00:00;0.0;R;18;R
314004824;2022-06-10 19:00:00;0.13;R;18;R
315107746;2022-06-10 20:00:00;0.0;R;16;R
314004824;2022-06-10 20:00:00;0.17;R;16;R
315107746;2022-06-10 21:00:00;0.0;R;16;R
314004824;2022-06-10 21:00:00;0.19;R;16;R
315107746;2022-06-10 22:00:00;0.0;R;16;R
314004824;2022-06-10 22:00:00;0.23;R;16;R
315107746;2022-06-10 23:00:00;0.0;R;15;R
314004824;2022-06-10 23:00:00;0.11;R;15;R
315107746;2022-06-11 00:00:00;0.0;R;14;R
314004824;2022-06-11 00:00:00;0.12;R;14;R
315107746;2022-06-11 01:00:00;0.0;R;14;R
314004824;2022-06-11 01:00:00;0.12;R;14;R
315107746;2022-06-11 02:00:00;0.0;R;13;R
314004824;2022-06-11 02:00:00;0.07;R;13;R
315107746;2022-06-11 03:00:00;0.0;R;14;R
314004824;2022-06-11 03:00:00;0.12;R;14;R
